user_id,first_name,last_name,email,country,signup_date,role,industry,company_size,use_case,acquisition_channel,converted_to_paid
U00013,Andres,Morales,andres.morales12@raiz824.app,Mexico,2026-07-24 14:25:54,Marketing Manager,Education,1-10,Marketing Analytics,Direct,1
U00014,Monica,Contreras,monica.contreras13@onda786.co,Colombia,2026-07-26 18:59:11,Product Manager,Media / Entertainment,11-50,Performance Monitoring,Partner,0
U00015,Felipe,Gomez,felipe.gomez14@faro938.biz,Peru,2026-07-05 17:13:09,Marketing Director,Telecommunications,11-50,Product Analytics,Paid Social,0
U00016,Emilio,Rivera,emilio.rivera15@faro765.co,Bolivia,2026-07-02 16:16:51,Product Manager,Financial Services,501-1000,Marketing Analytics,Referral,0
U00017,Rodrigo,Rojas,rodrigo.rojas16@meridian461.biz,Venezuela,2026-07-15 14:40:48,Growth Manager,Real Estate,1-10,Financial Analytics,Referral,0
U00018,Diego,Garcia,diego.garcia17@polo711.app,Mexico,2026-07-14 16:34:01,Business Analyst,Education,501-1000,Operations Analytics,Referral,1
U00019,Ana,Chavez,ana.chavez18@andina608.tech,Mexico,2026-07-01 18:46:48,Business Analyst,Healthcare,51-200,Marketing Analytics,Paid Social,0
U00020,Rafael,Jimenez,rafael.jimenez19@cumbre848.tech,Venezuela,2026-07-01 07:55:26,Marketing Director,Professional Services,11-50,Sales Analytics,Paid Social,1
U00021,Javier,Sanchez,javier.sanchez20@onda889.co,Peru,2026-07-24 12:23:13,Data Scientist,SaaS / Software,501-1000,Data Exploration,Paid Social,1
U00022,Fernanda,Vega,fernanda.vega21@cumbre770.co,Venezuela,2026-07-21 11:09:19,Data Scientist,Media / Entertainment,1001-5000,Data Exploration,Referral,0
U00023,Miguel,Sanchez,miguel.sanchez22@prisma39.tech,Argentina,2026-07-14 17:26:11,Product Director,SaaS / Software,1-10,Product Analytics,Direct,0
U00024,Ana,Rivera,ana.rivera23@raiz505.io,Argentina,2026-07-23 16:40:16,Operations Manager,Logistics / Transportation,1-10,Marketing Analytics,Direct,0
U00025,Valeria,Ramirez,valeria.ramirez24@andina889.co,Peru,2026-07-18 15:06:34,Marketing Manager,Other,5001+,Sales Analytics,Direct,0
U00026,Alejandro,Gutierrez,alejandro.gutierrez25@vertex369.biz,Brazil,2026-07-23 12:16:54,Operations Manager,SaaS / Software,51-200,Customer Analytics,Paid Search,0
U00027,Monica,Vargas,monica.vargas26@delta716.tech,Brazil,2026-07-29 14:46:40,Marketing Manager,Real Estate,51-200,Performance Monitoring,Organic Social,0
U00028,Fernando,Aguilar,fernando.aguilar27@faro474.tech,Colombia,2026-07-15 09:34:30,Data Scientist,Education,11-50,Customer Analytics,Partner,0
U00029,Juan,Aguilar,juan.aguilar28@andina485.app,Brazil,2026-07-26 13:47:46,Growth Director,Logistics / Transportation,11-50,Marketing Analytics,Paid Search,0
U00030,Diego,Sanchez,diego.sanchez29@azul802.biz,Ecuador,2026-07-22 13:53:03,Business Analyst,Manufacturing,1-10,Marketing Analytics,Referral,1
U00031,Valeria,Reyes,valeria.reyes30@delta648.io,Honduras,2026-07-18 12:34:52,Operations Manager,Healthcare,501-1000,Financial Analytics,Direct,0
U00032,Sebastian,Reyes,sebastian.reyes31@vertex222.co,Brazil,2026-07-29 16:51:20,Product Director,Media / Entertainment,11-50,Operations Analytics,Paid Social,0
U00033,Lucia,Mendoza,lucia.mendoza32@vertex367.app,Venezuela,2026-07-18 17:56:20,Founder / CEO,Healthcare,11-50,Financial Analytics,Paid Social,0
U00034,Adriana,Ramirez,adriana.ramirez33@nova253.biz,Paraguay,2026-07-21 13:04:26,Sales Director,Retail / E-commerce,51-200,Executive Reporting,Event / Webinar,0
U00035,Paula,Torres,paula.torres34@azul660.app,Venezuela,2026-07-21 07:26:07,BI Analyst,Telecommunications,1-10,Financial Analytics,Referral,0
U00036,Laura,Hernandez,laura.hernandez35@tierra790.io,Guatemala,2026-07-05 11:38:49,Operations Manager,Real Estate,11-50,Marketing Analytics,Content,1
U00037,Monica,Gomez,monica.gomez36@prisma581.io,Guatemala,2026-07-18 16:21:51,Marketing Manager,Telecommunications,501-1000,Marketing Analytics,Content,0
U00038,Patricia,Gomez,patricia.gomez37@cielo661.biz,Venezuela,2026-07-24 11:26:23,Product Manager,Travel / Hospitality,201-500,Customer Analytics,Organic Search,1
U00039,Isabella,Perez,isabella.perez38@cumbre311.app,Colombia,2026-07-22 12:39:18,Marketing Manager,SaaS / Software,1001-5000,Marketing Analytics,Partner,0
U00040,Patricia,Gonzalez,patricia.gonzalez39@orbita509.co,Venezuela,2026-07-05 15:31:14,Sales Director,SaaS / Software,1-10,Customer Analytics,Content,0
U00041,Rodrigo,Rodriguez,rodrigo.rodriguez40@cielo957.biz,Colombia,2026-07-14 17:05:40,Growth Manager,Professional Services,1-10,Customer Analytics,Direct,1
U00042,Laura,Martinez,laura.martinez41@sol470.app,Peru,2026-07-29 17:56:15,Sales Manager,Consumer Goods,11-50,Product Analytics,Partner,0
U00043,Fernando,Morales,fernando.morales42@tierra436.co,Mexico,2026-07-16 17:24:09,Sales Director,Travel / Hospitality,51-200,Product Analytics,Referral,1
U00044,Paula,Gutierrez,paula.gutierrez43@vertex469.biz,Bolivia,2026-07-03 15:30:11,Marketing Manager,Retail / E-commerce,201-500,Product Analytics,Paid Social,0
U00045,Felipe,Jimenez,felipe.jimenez44@delta926.co,Paraguay,2026-07-23 13:59:42,Business Analyst,Education,11-50,Financial Analytics,Direct,0
U00046,Mariana,Rivera,mariana.rivera45@atlas871.tech,Guatemala,2026-07-27 19:50:52,Growth Manager,Healthcare,201-500,Product Analytics,Organic Search,0
U00047,Laura,Cruz,laura.cruz46@tierra788.co,Colombia,2026-07-16 14:17:43,Sales Director,Education,1001-5000,Product Analytics,Event / Webinar,0
U00048,Daniela,Mendoza,daniela.mendoza47@meridian550.io,Honduras,2026-07-10 15:38:57,Sales Manager,Logistics / Transportation,201-500,Sales Analytics,Email,0
U00049,Paula,Perez,paula.perez48@bosque759.co,Colombia,2026-07-06 15:56:53,Sales Manager,Media / Entertainment,1001-5000,Product Analytics,Direct,1
U00050,Andrea,Vega,andrea.vega49@sol93.tech,Chile,2026-07-30 18:29:50,Product Manager,Retail / E-commerce,1-10,Data Exploration,Partner,0
U00051,Carolina,Aguilar,carolina.aguilar50@cielo675.tech,Mexico,2026-07-29 19:50:39,Data Analyst,Financial Services,5001+,Sales Analytics,Organic Search,1
U00052,Lucia,Reyes,lucia.reyes51@andina163.biz,Chile,2026-07-08 20:10:34,Operations Manager,Logistics / Transportation,11-50,Financial Analytics,Paid Social,1
U00053,Patricia,Ramirez,patricia.ramirez52@cauce525.tech,Peru,2026-07-19 20:43:55,Data Scientist,Retail / E-commerce,1001-5000,Customer Analytics,Referral,1
U00054,Patricia,Vega,patricia.vega53@sol499.io,Venezuela,2026-07-07 14:24:49,Founder / CEO,SaaS / Software,51-200,Financial Analytics,Event / Webinar,0
U00055,Luis,Diaz,luis.diaz54@tierra788.tech,Mexico,2026-07-11 15:56:29,Sales Manager,Healthcare,11-50,Product Analytics,Partner,0
U00056,Maria,Gonzalez,maria.gonzalez55@tierra490.io,Mexico,2026-07-12 11:26:04,Marketing Director,Travel / Hospitality,11-50,Product Analytics,Referral,0
U00057,Laura,Reyes,laura.reyes56@andina88.co,Brazil,2026-07-25 13:44:05,Marketing Director,SaaS / Software,1001-5000,Marketing Analytics,Referral,1
U00058,Sofia,Rodriguez,sofia.rodriguez57@azul351.tech,Venezuela,2026-07-01 11:37:50,BI Analyst,Retail / E-commerce,1001-5000,Product Analytics,Referral,0
U00059,Fernanda,Jimenez,fernanda.jimenez58@sol311.co,Dominican Republic,2026-07-21 16:21:14,Sales Director,Education,11-50,Business Intelligence,Paid Search,0
U00060,Diego,Vega,diego.vega59@meridian616.co,Brazil,2026-07-19 06:20:06,Product Director,Travel / Hospitality,201-500,Business Intelligence,Paid Search,0
U00061,Gabriela,Contreras,gabriela.contreras60@raiz287.biz,Peru,2026-07-12 14:49:05,Product Manager,Travel / Hospitality,51-200,Financial Analytics,Direct,0
U00062,Paula,Flores,paula.flores61@azul230.app,Mexico,2026-07-31 09:37:06,BI Analyst,Telecommunications,501-1000,Marketing Analytics,Email,0
U00063,Rafael,Aguilar,rafael.aguilar62@cauce394.app,Brazil,2026-07-29 19:59:04,Sales Manager,Consumer Goods,501-1000,Data Exploration,Direct,1
U00064,Sebastian,Reyes,sebastian.reyes63@lumen416.tech,Mexico,2026-07-13 11:07:59,Marketing Manager,SaaS / Software,201-500,Product Analytics,Paid Social,0
U00065,Emilio,Vega,emilio.vega64@tierra157.biz,Brazil,2026-07-26 14:31:27,Marketing Director,Media / Entertainment,11-50,Product Analytics,Event / Webinar,0
U00066,Fernanda,Chavez,fernanda.chavez65@bosque702.co,Colombia,2026-07-05 21:11:47,Sales Director,Manufacturing,51-200,Business Intelligence,Paid Social,0
U00067,Gustavo,Gomez,gustavo.gomez66@raiz907.app,Brazil,2026-07-02 21:40:41,Founder / CEO,Consumer Goods,51-200,Business Intelligence,Organic Search,0
U00068,Marcelo,Vega,marcelo.vega67@vertex218.tech,Guatemala,2026-07-24 17:24:05,Sales Manager,Financial Services,51-200,Performance Monitoring,Partner,0
U00069,Carlos,Torres,carlos.torres68@cauce148.io,Mexico,2026-07-21 16:40:01,Founder / CEO,SaaS / Software,51-200,Marketing Analytics,Content,0
U00070,Laura,Chavez,laura.chavez69@cauce431.tech,Mexico,2026-07-10 13:42:46,Founder / CEO,Financial Services,11-50,Operations Analytics,Paid Search,0
U00071,Monica,Gomez,monica.gomez70@nova708.io,Chile,2026-07-19 21:07:25,Sales Manager,Telecommunications,201-500,Business Intelligence,Paid Social,0
U00072,Isabella,Ramirez,isabella.ramirez71@faro550.tech,Argentina,2026-07-06 19:40:48,Marketing Manager,Healthcare,51-200,Marketing Analytics,Paid Search,0
U00073,Jose,Silva,jose.silva72@lumen868.tech,Brazil,2026-07-15 20:03:06,Business Analyst,Retail / E-commerce,201-500,Business Intelligence,Paid Social,1
U00074,Mariana,Silva,mariana.silva73@azul188.app,Guatemala,2026-07-19 18:59:14,Growth Manager,Real Estate,501-1000,Business Intelligence,Organic Search,0
U00075,Miguel,Rodriguez,miguel.rodriguez74@lumen41.tech,Colombia,2026-07-17 13:34:53,Marketing Manager,Telecommunications,51-200,Sales Analytics,Paid Search,0
U00076,Isabella,Gutierrez,isabella.gutierrez75@meridian234.io,Ecuador,2026-07-18 15:20:39,Product Manager,Logistics / Transportation,51-200,Business Intelligence,Paid Search,0
U00077,Sofia,Aguilar,sofia.aguilar76@vertex81.app,Brazil,2026-07-18 15:20:30,Marketing Manager,Logistics / Transportation,1-10,Product Analytics,Organic Social,0
U00078,Jose,Silva,jose.silva77@delta86.io,Chile,2026-07-07 17:36:45,Product Director,Logistics / Transportation,5001+,Financial Analytics,Email,0
U00079,Camila,Morales,camila.morales78@cumbre52.co,Mexico,2026-07-12 20:04:37,Operations Manager,Travel / Hospitality,11-50,Product Analytics,Paid Search,1
U00080,Isabella,Lopez,isabella.lopez79@polo847.co,Peru,2026-07-14 11:06:40,Business Analyst,SaaS / Software,501-1000,Marketing Analytics,Organic Search,1
U00081,Valeria,Gonzalez,valeria.gonzalez80@cielo151.tech,Guatemala,2026-07-19 07:51:55,Business Analyst,Professional Services,501-1000,Sales Analytics,Paid Social,0
U00082,Valentina,Gonzalez,valentina.gonzalez81@cielo724.biz,Chile,2026-07-10 14:03:59,Marketing Manager,Retail / E-commerce,1001-5000,Sales Analytics,Direct,1
U00083,Rodrigo,Morales,rodrigo.morales82@andina751.co,Mexico,2026-07-14 23:28:58,Data Analyst,Healthcare,11-50,Sales Analytics,Organic Search,1
U00084,Laura,Rojas,laura.rojas83@nova31.app,Ecuador,2026-07-06 14:48:37,Growth Manager,Healthcare,11-50,Data Exploration,Paid Search,0
U00085,Sebastian,Morales,sebastian.morales84@meridian141.io,Argentina,2026-07-21 16:33:40,Data Scientist,Telecommunications,1-10,Business Intelligence,Paid Social,0
U00086,Andrea,Hernandez,andrea.hernandez85@tierra138.biz,Chile,2026-07-03 12:56:19,Founder / CEO,Consumer Goods,11-50,Financial Analytics,Paid Search,0
U00087,Andrea,Silva,andrea.silva86@cielo636.tech,Colombia,2026-07-08 09:57:51,Operations Manager,SaaS / Software,11-50,Business Intelligence,Referral,0
U00088,Juan,Martinez,juan.martinez87@polo822.app,Ecuador,2026-07-11 12:23:49,Founder / CEO,Travel / Hospitality,201-500,Operations Analytics,Organic Social,0
U00089,Patricia,Gonzalez,patricia.gonzalez88@nova663.tech,Venezuela,2026-07-27 15:16:24,Data Analyst,Telecommunications,501-1000,Product Analytics,Paid Search,0
U00090,Mariana,Ramos,mariana.ramos89@bosque399.io,Colombia,2026-07-12 12:20:57,Sales Manager,Logistics / Transportation,1-10,Marketing Analytics,Paid Search,0
U00091,Felipe,Gonzalez,felipe.gonzalez90@onda282.app,Brazil,2026-07-22 18:01:12,Product Manager,Retail / E-commerce,1-10,Product Analytics,Paid Search,0
U00092,Daniela,Mendoza,daniela.mendoza91@faro986.tech,Chile,2026-07-23 10:26:59,Product Director,Real Estate,51-200,Product Analytics,Event / Webinar,0
U00093,Fernando,Lopez,fernando.lopez92@meridian87.biz,Peru,2026-07-10 13:28:41,Business Analyst,Retail / E-commerce,201-500,Data Exploration,Paid Search,0
U00094,Paula,Castro,paula.castro93@polo631.app,Mexico,2026-07-28 10:01:42,Operations Director,Logistics / Transportation,1-10,Customer Analytics,Organic Search,0
U00095,Monica,Perez,monica.perez94@tierra72.tech,Colombia,2026-07-16 11:11:34,Data Analyst,Retail / E-commerce,1-10,Product Analytics,Content,0
U00096,Mariana,Hernandez,mariana.hernandez95@vertex612.io,Ecuador,2026-07-16 18:02:01,Growth Manager,Consumer Goods,201-500,Marketing Analytics,Paid Social,1
U00097,Diego,Jimenez,diego.jimenez96@tierra47.biz,Mexico,2026-07-12 12:57:36,Product Manager,Education,1-10,Data Exploration,Paid Search,0
U00098,Jose,Diaz,jose.diaz0@cauce506.app,Mexico,2026-07-25 17:39:14,Operations Director,Telecommunications,51-200,Customer Analytics,Organic Search,1
U00099,Marcelo,Ortiz,marcelo.ortiz1@orbita727.tech,Mexico,2026-07-06 16:57:14,Operations Manager,Retail / E-commerce,11-50,Executive Reporting,Organic Search,1
U00100,Lucia,Contreras,lucia.contreras2@andina776.biz,Mexico,2026-07-15 20:36:58,Founder / CEO,SaaS / Software,5001+,Operations Analytics,Paid Social,0
U00101,Rodrigo,Rojas,rodrigo.rojas3@delta147.tech,Ecuador,2026-07-13 11:16:55,Marketing Manager,Media / Entertainment,51-200,Performance Monitoring,Content,0
U00102,Monica,Chavez,monica.chavez4@meridian667.tech,Brazil,2026-07-19 16:23:06,Marketing Manager,Education,11-50,Product Analytics,Organic Social,1
U00103,Patricia,Ramos,patricia.ramos5@vertex293.co,Uruguay,2026-07-01 14:29:10,Sales Director,Travel / Hospitality,11-50,Sales Analytics,Paid Search,1
U00104,Felipe,Torres,felipe.torres6@polo122.co,Chile,2026-07-07 15:01:29,Data Analyst,Retail / E-commerce,201-500,Sales Analytics,Paid Social,1
U00105,Maria,Contreras,maria.contreras7@orbita895.biz,Brazil,2026-07-22 17:07:55,Marketing Manager,Retail / E-commerce,201-500,Product Analytics,Paid Search,0
U00106,Ivan,Martinez,ivan.martinez8@orbita662.io,Colombia,2026-07-13 15:03:46,Operations Manager,Retail / E-commerce,201-500,Operations Analytics,Paid Search,1
U00107,Eduardo,Rivera,eduardo.rivera9@andina244.co,Uruguay,2026-07-04 23:22:52,Data Scientist,Real Estate,501-1000,Executive Reporting,Organic Search,0
U00108,Laura,Castro,laura.castro10@delta215.biz,Uruguay,2026-07-30 10:29:04,Operations Manager,Real Estate,501-1000,Sales Analytics,Referral,0
U00109,Valentina,Jimenez,valentina.jimenez11@polo475.tech,Colombia,2026-07-28 16:45:32,Business Analyst,SaaS / Software,501-1000,Operations Analytics,Paid Social,0
U00110,Natalia,Castro,natalia.castro12@delta327.tech,Brazil,2026-07-25 19:26:47,Business Analyst,Media / Entertainment,51-200,Marketing Analytics,Paid Search,0
U00111,Lucia,Gutierrez,lucia.gutierrez13@cielo378.tech,Colombia,2026-07-28 14:08:57,Business Analyst,Media / Entertainment,501-1000,Sales Analytics,Organic Search,0
U00112,Juan,Hernandez,juan.hernandez14@delta102.co,Mexico,2026-07-09 11:51:59,Data Analyst,Consumer Goods,11-50,Financial Analytics,Referral,0
U00113,Natalia,Silva,natalia.silva15@polo959.tech,Peru,2026-07-17 15:00:00,Product Director,Media / Entertainment,11-50,Customer Analytics,Organic Search,1
U00114,Sebastian,Ortiz,sebastian.ortiz16@meridian400.biz,Colombia,2026-07-17 10:33:58,Product Manager,Logistics / Transportation,1-10,Customer Analytics,Paid Social,0
U00115,Laura,Chavez,laura.chavez17@prisma749.co,Ecuador,2026-07-28 13:01:12,Data Analyst,Logistics / Transportation,11-50,Customer Analytics,Paid Search,1
U00116,Fernanda,Flores,fernanda.flores18@orbita318.co,Colombia,2026-07-17 12:33:15,Business Analyst,Manufacturing,11-50,Operations Analytics,Content,0
U00117,Luis,Aguilar,luis.aguilar19@delta545.biz,Colombia,2026-07-07 12:24:14,Marketing Manager,Financial Services,51-200,Sales Analytics,Email,0
U00118,Ricardo,Castro,ricardo.castro20@vertex141.io,Bolivia,2026-07-19 12:56:48,Business Analyst,SaaS / Software,501-1000,Sales Analytics,Direct,0
U00119,Andrea,Contreras,andrea.contreras21@vertex658.io,Colombia,2026-07-21 17:24:34,Data Scientist,Professional Services,51-200,Performance Monitoring,Organic Search,0
U00120,Laura,Torres,laura.torres22@tierra742.app,Chile,2026-07-20 19:48:42,Data Scientist,Media / Entertainment,501-1000,Business Intelligence,Referral,0
U00121,Ana,Flores,ana.flores23@cauce924.io,Brazil,2026-07-09 19:28:52,Sales Manager,Retail / E-commerce,501-1000,Marketing Analytics,Organic Social,0
U00122,Marcelo,Contreras,marcelo.contreras24@cumbre108.co,Argentina,2026-07-02 16:37:06,Data Analyst,Education,51-200,Sales Analytics,Organic Search,1
U00123,Adriana,Gutierrez,adriana.gutierrez25@onda558.biz,Bolivia,2026-07-06 15:18:08,Marketing Manager,Education,1-10,Financial Analytics,Organic Search,0
U00124,Jose,Sanchez,jose.sanchez26@lumen485.biz,Uruguay,2026-07-29 17:55:55,Data Scientist,Telecommunications,51-200,Customer Analytics,Paid Search,0
U00125,Carlos,Garcia,carlos.garcia27@atlas758.co,Venezuela,2026-07-08 10:35:11,Founder / CEO,SaaS / Software,11-50,Executive Reporting,Referral,0
U00126,Camila,Perez,camila.perez28@meridian744.tech,Mexico,2026-07-17 18:38:24,Data Analyst,Financial Services,11-50,Marketing Analytics,Organic Search,0
U00127,Diego,Ramirez,diego.ramirez29@andina844.tech,Brazil,2026-07-24 13:16:56,Operations Manager,Consumer Goods,501-1000,Operations Analytics,Organic Search,0
U00128,Isabella,Diaz,isabella.diaz30@tierra96.biz,Uruguay,2026-07-07 17:39:23,Business Analyst,Travel / Hospitality,1001-5000,Marketing Analytics,Organic Search,1
U00129,Mariana,Reyes,mariana.reyes31@onda723.co,Mexico,2026-07-05 10:32:34,Product Director,Other,11-50,Sales Analytics,Paid Social,0
U00130,Felipe,Ramos,felipe.ramos32@onda525.io,Brazil,2026-07-08 16:39:04,Sales Director,Consumer Goods,51-200,Business Intelligence,Paid Search,0
U00131,Sebastian,Gonzalez,sebastian.gonzalez33@azul285.co,Mexico,2026-07-22 11:05:08,Sales Director,Education,51-200,Marketing Analytics,Email,0
U00132,Maria,Contreras,maria.contreras34@atlas883.co,Mexico,2026-07-19 18:52:04,Founder / CEO,SaaS / Software,5001+,Executive Reporting,Paid Search,0
U00133,Felipe,Mendoza,felipe.mendoza35@meridian684.biz,Argentina,2026-07-19 10:47:42,Operations Director,Financial Services,201-500,Data Exploration,Paid Search,1
U00134,Lucia,Torres,lucia.torres36@meridian538.co,Mexico,2026-07-10 17:35:00,Product Manager,Logistics / Transportation,51-200,Customer Analytics,Paid Search,0
U00135,Rafael,Garcia,rafael.garcia37@cielo499.co,Venezuela,2026-07-19 12:01:26,Operations Manager,Professional Services,51-200,Executive Reporting,Content,0
U00136,Diego,Reyes,diego.reyes38@faro850.co,Chile,2026-07-16 17:16:32,Business Analyst,Manufacturing,1-10,Product Analytics,Organic Search,0
U00137,Monica,Hernandez,monica.hernandez39@orbita967.tech,Colombia,2026-07-01 21:02:24,Product Director,Manufacturing,11-50,Business Intelligence,Paid Social,1
U00138,Camila,Rodriguez,camila.rodriguez40@nova691.tech,Chile,2026-07-07 16:04:12,Operations Director,Professional Services,501-1000,Financial Analytics,Paid Social,0
U00139,Laura,Ramirez,laura.ramirez41@atlas347.tech,Peru,2026-07-14 13:03:46,Business Analyst,Financial Services,201-500,Product Analytics,Partner,0
U00140,Gustavo,Gomez,gustavo.gomez42@raiz770.app,Ecuador,2026-07-22 17:44:03,Business Analyst,Travel / Hospitality,11-50,Marketing Analytics,Content,0
U00141,Miguel,Gomez,miguel.gomez43@meridian864.io,Colombia,2026-07-09 11:12:10,Sales Director,Professional Services,51-200,Marketing Analytics,Paid Search,0
U00142,Marcelo,Lopez,marcelo.lopez44@cumbre511.co,Brazil,2026-07-10 10:55:28,Product Manager,Healthcare,11-50,Operations Analytics,Partner,0
U00143,Fernando,Chavez,fernando.chavez45@sol277.app,Bolivia,2026-07-27 17:28:35,Growth Director,Financial Services,1-10,Performance Monitoring,Email,0
U00144,Alejandro,Morales,alejandro.morales46@lumen702.app,Colombia,2026-07-22 16:34:25,Marketing Director,Professional Services,201-500,Sales Analytics,Event / Webinar,0
U00145,Lucia,Chavez,lucia.chavez47@bosque242.io,Guatemala,2026-07-11 15:29:23,Business Analyst,SaaS / Software,201-500,Data Exploration,Referral,0
U00146,Monica,Vega,monica.vega48@nova310.io,Dominican Republic,2026-07-12 08:52:28,Marketing Director,Telecommunications,11-50,Sales Analytics,Organic Search,0
U00147,Monica,Lopez,monica.lopez49@raiz219.io,Mexico,2026-07-24 16:56:39,BI Analyst,Media / Entertainment,51-200,Product Analytics,Referral,1
U00148,Fernanda,Perez,fernanda.perez50@cauce557.biz,Mexico,2026-07-20 16:25:20,Marketing Manager,Professional Services,1001-5000,Marketing Analytics,Organic Search,0
U00149,Felipe,Vargas,felipe.vargas51@atlas674.io,Mexico,2026-07-11 10:22:03,Growth Manager,Media / Entertainment,5001+,Marketing Analytics,Referral,0
U00150,Javier,Hernandez,javier.hernandez52@nova617.app,Brazil,2026-07-20 09:35:17,Marketing Director,Retail / E-commerce,1001-5000,Marketing Analytics,Direct,0
U00151,Fernando,Gutierrez,fernando.gutierrez53@prisma25.app,Chile,2026-07-07 09:37:33,Product Manager,Professional Services,1001-5000,Sales Analytics,Organic Search,0
U00152,Miguel,Gonzalez,miguel.gonzalez54@prisma375.tech,Colombia,2026-07-30 14:41:08,Growth Director,Retail / E-commerce,51-200,Business Intelligence,Referral,1
U00153,Fernanda,Aguilar,fernanda.aguilar55@lumen346.biz,Ecuador,2026-07-29 19:15:36,Product Director,SaaS / Software,1-10,Product Analytics,Referral,1
U00154,Fernanda,Contreras,fernanda.contreras56@azul462.app,Guatemala,2026-07-06 15:04:03,Founder / CEO,Telecommunications,11-50,Business Intelligence,Organic Search,0
U00155,Daniela,Silva,daniela.silva57@prisma77.app,Ecuador,2026-07-30 13:06:51,Operations Manager,Education,51-200,Customer Analytics,Paid Search,0
U00156,Ana,Vargas,ana.vargas58@azul417.io,Ecuador,2026-07-17 11:47:48,Data Scientist,Real Estate,201-500,Executive Reporting,Paid Search,0
U00157,Javier,Aguilar,javier.aguilar59@azul909.co,Brazil,2026-07-30 16:34:52,Business Analyst,Education,51-200,Operations Analytics,Partner,0
U00158,Valentina,Morales,valentina.morales60@orbita139.tech,Argentina,2026-07-21 16:27:15,Sales Director,Manufacturing,11-50,Business Intelligence,Paid Social,0
U00159,Eduardo,Castro,eduardo.castro61@delta352.io,Colombia,2026-07-22 20:36:22,Product Manager,Consumer Goods,11-50,Customer Analytics,Partner,0
U00160,Jose,Torres,jose.torres62@lumen27.biz,Colombia,2026-07-05 17:35:09,Product Manager,Retail / E-commerce,1-10,Product Analytics,Paid Search,0
U00161,Sofia,Ramirez,sofia.ramirez63@cumbre756.biz,Colombia,2026-07-29 17:28:47,Sales Manager,Manufacturing,5001+,Business Intelligence,Email,0
U00162,Gustavo,Aguilar,gustavo.aguilar64@cauce634.io,Uruguay,2026-07-23 18:52:33,Marketing Director,Logistics / Transportation,11-50,Operations Analytics,Direct,0
U00163,Jose,Rivera,jose.rivera65@onda199.app,Venezuela,2026-07-22 09:41:40,Product Director,Retail / E-commerce,11-50,Operations Analytics,Content,0
U00164,Carlos,Contreras,carlos.contreras66@sol570.biz,Colombia,2026-07-18 03:41:33,Operations Manager,Retail / E-commerce,5001+,Operations Analytics,Organic Social,0
U00165,Emilio,Chavez,emilio.chavez67@bosque876.biz,Argentina,2026-07-02 21:57:57,Marketing Manager,Retail / E-commerce,11-50,Financial Analytics,Event / Webinar,0
U00166,Javier,Contreras,javier.contreras68@sol885.co,Peru,2026-07-23 14:33:33,Founder / CEO,Financial Services,51-200,Customer Analytics,Paid Social,1
U00167,Luis,Torres,luis.torres69@orbita463.co,Bolivia,2026-07-08 15:34:45,Marketing Manager,Logistics / Transportation,1-10,Financial Analytics,Referral,1
U00168,Miguel,Ramirez,miguel.ramirez70@andina706.app,Brazil,2026-07-15 13:15:35,Product Manager,Manufacturing,201-500,Sales Analytics,Partner,0
U00169,Gustavo,Gonzalez,gustavo.gonzalez71@meridian238.tech,Colombia,2026-07-02 23:58:02,Growth Manager,Healthcare,201-500,Product Analytics,Content,1
